tempo,conexao,quant_registros,versao_bd
6, 3G, muitos, 10.0.0
12, 3G, muitos, 10.0.0
18, 3G, muitos, 10.0.0
6, 3G, muitos, 10.0.0
6, 3G, muitos, 10.0.0
7, 3G, muitos, 10.0.0
6, 3G, muitos, 10.0.0
8, 3G, muitos, 10.0.0
9, 3G, muitos, 10.0.0
8, 3G, muitos, 10.0.0
4, WiFi, muitos, 10.0.0
4, WiFi, muitos, 10.0.0
5, WiFi, muitos, 10.0.0
4, WiFi, muitos, 10.0.0
5, WiFi, muitos, 10.0.0
5, WiFi, muitos, 10.0.0
10, WiFi, muitos, 10.0.0
14, WiFi, muitos, 10.0.0
6, WiFi, muitos, 10.0.0
9, WiFi, muitos, 10.0.0
5, WiFi, poucos, 10.0.0
9, WiFi, poucos, 10.0.0
7, WiFi, poucos, 10.0.0
8, WiFi, poucos, 10.0.0
6, WiFi, poucos, 10.0.0
8, WiFi, poucos, 10.0.0
8, WiFi, poucos, 10.0.0
7, WiFi, poucos, 10.0.0
7, WiFi, poucos, 10.0.0
9, WiFi, poucos, 10.0.0
12, 3G, poucos, 10.0.0
20, 3G, poucos, 10.0.0
13, 3G, poucos, 10.0.0
6, 3G, poucos, 10.0.0
6, 3G, poucos, 10.0.0
8, 3G, poucos, 10.0.0
4, 3G, poucos, 10.0.0
7, 3G, poucos, 10.0.0
4, 3G, poucos, 10.0.0
8, 3G, poucos, 10.0.0
7, WiFi, poucos, 9.6.1
2, WiFi, poucos, 9.6.1
4, WiFi, poucos, 9.6.1
3, WiFi, poucos, 9.6.1
4, WiFi, poucos, 9.6.1
4, WiFi, poucos, 9.6.1
4, WiFi, poucos, 9.6.1
6, WiFi, poucos, 9.6.1
4, WiFi, poucos, 9.6.1
4, WiFi, poucos, 9.6.1
6, 3G, poucos, 9.6.1
5, 3G, poucos, 9.6.1
3, 3G, poucos, 9.6.1
4, 3G, poucos, 9.6.1
9, 3G, poucos, 9.6.1
4, 3G, poucos, 9.6.1
14, 3G, poucos, 9.6.1
6, 3G, poucos, 9.6.1
3, 3G, poucos, 9.6.1
4, 3G, poucos, 9.6.1
9, WiFi, muitos, 9.6.1
9, WiFi, muitos, 9.6.1
5, WiFi, muitos, 9.6.1
5, WiFi, muitos, 9.6.1
10, WiFi, muitos, 9.6.1
5, WiFi, muitos, 9.6.1
6, WiFi, muitos, 9.6.1
5, WiFi, muitos, 9.6.1
5, WiFi, muitos, 9.6.1
7, WiFi, muitos, 9.6.1
24, 3G, muitos, 9.6.1
7, 3G, muitos, 9.6.1
12, 3G, muitos, 9.6.1
9, 3G, muitos, 9.6.1
7, 3G, muitos, 9.6.1
13, 3G, muitos, 9.6.1
6, 3G, muitos, 9.6.1
9, 3G, muitos, 9.6.1
20, 3G, muitos, 9.6.1
9, 3G, muitos, 9.6.1

